longitude,latitude,altitude,angle,speed,odometer,timedelta,d1,d2,d3,e2,e3,Pass_ID,Y,tsne_x,tsne_y,color_tsne_5000,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,order,id
0.6243810005374204,0.4931411943844353,0.06753812636165578,0.2228412256267409,0.26804123711340205,0.0037779330928049267,0.00026492224919299416,0.0,0.9999999999999998,0.0,0.0,0.0,25,0.0,65.42595,1.6037008,#1e81e9,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,0
0.6224059616738185,0.4929819739281953,0.047225426118159684,0.31771260036047844,0.19830200121285624,0.11114345811994493,0.013945736851481365,0.0,0.941176470588235,0.0,0.0,0.0,25,-1.0,64.89878,3.5170887000000004,#1e7ce9,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,1
0.6212315659862161,0.4930463044960476,0.035947712418300665,0.5183446080382014,0.08276877761413844,0.039061129655965234,0.007929740406295563,0.0,0.3428571428571429,0.0,0.0,0.0,25,-2.0,43.777378000000006,5.724474400000001,#387bd9,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,2
0.6213783827170669,0.4917657799243251,0.03431372549019608,0.7284122562674095,0.3118556701030928,0.1433253367082869,0.011280110505112224,0.0,0.0,0.0,0.0,0.0,25,-3.0,0.5628875,2.322711,#a9967e,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,3
0.6210622156173589,0.4897105536789503,0.015960973761485267,0.3424972750393605,0.2510085163603765,0.08960271748369944,0.00767304555614583,0.0,0.0,0.3478260869565215,0.0,0.0,25,-4.0,20.684925,5.0117650000000005,#798baf,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,4
0.6202622686391699,0.4877461344729888,0.0062074212401009785,0.2343812176681257,0.320896743577156,0.20238927282883531,0.014973972108312788,0.8253968253968254,0.0,0.1746031746031745,0.0,0.0,25,-5.0,-50.57119,-3.1824713,#ec8902,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,5
0.6271857577586584,0.4929810520185747,0.08237547892720305,0.2819133608683123,0.3668681123355847,0.047614984324834506,0.002659319347162342,0.0,0.9310344827586206,0.0,0.0,0.0,25,1.0,63.5516,1.3582591,#1e81e8,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,6
0.6302378611709489,0.4922536258158807,0.09337068160597572,0.29446876243533626,0.3151693667157585,0.2260013546588661,0.013212250217271656,0.2857142857142857,0.0,0.0,0.0,0.0,25,2.0,-43.514225,-0.010721391,#e98306,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,7
0.6312934240074224,0.4910585190929808,0.0938634713144517,0.5538532961931291,0.2542955326460481,0.06328037930448252,0.005609844820630596,1.0,0.0,0.0,0.0,0.0,25,3.0,-53.876278000000006,-0.9862841999999998,#ee8502,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,8
0.6320297465644451,0.4898903289046466,0.08256329351664038,0.23965036980117185,0.2538215428368289,0.08122556149530591,0.00780390748938564,0.0,0.0,0.0,0.0,0.0,25,4.0,-21.178635,6.1448160000000005,#d38242,0,0,3,3,3,6,6,6,6,6,6,14,14,17,17,19,0,9
