longitude,latitude,altitude,angle,speed,odometer,Pass_ID,Y,tsne_x,tsne_y,color_tsne_5000,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,order,id
0.5778829381653168,0.4973614867081686,0.014161220043572988,0.24512534818941506,0.4948453608247423,0.22573150229509434,12,0.0,6.3841386,39.363953,#812999,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,0
0.5741320089503006,0.4972676659281667,0.019063180827886717,0.2437325905292479,0.4793814432989692,0.2376162501495432,12,-1.0,6.321417299999999,39.404358,#812999,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,1
0.5714637304831829,0.4971515307700472,0.01915395787944808,0.4268802228412256,0.08734249713631156,0.006401497740586125,12,-2.0,-17.847656,-21.63981,#b8be4b,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,2
0.5740502809952179,0.498499626468675,0.02372306947470347,0.6725471990095945,0.8178694158075601,0.2895890658220887,12,-3.0,43.936344,8.729063,#1e6de6,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,3
0.5809992017560113,0.5009793839132399,0.04,0.6963788300835655,0.8874226804123713,0.2963221821341544,12,-4.0,45.077076,8.816413,#1e6de7,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,4
0.5877250215098933,0.5034068832239136,0.06749778100540628,0.6736820385845456,0.8453608247422679,0.29163544624735804,12,-5.0,44.595046999999994,8.816101,#1e6de7,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,5
0.5808910079260858,0.4950349363601596,0.014859505055583488,0.3037640168559389,0.5508855405762622,0.2261916351717821,12,1.0,6.7840333,39.950092,#7f279a,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,6
0.5851889552519154,0.4929865487587435,0.016982291492095417,0.3106206699521463,0.5593444356330954,0.2895446670357417,12,2.0,6.6380186000000005,40.849045000000004,#7f2599,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,7
0.5884665008482308,0.4915900765741661,0.01868610692140104,0.28712234840368545,0.4678826328310866,0.08729205021163691,12,3.0,6.6763144,-25.216244,#78c690,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,8
0.5903910594347668,0.4913263300579658,0.011466574934067194,0.3687142647705615,0.2604449267498643,0.19528434414584409,12,4.0,1.4928275,-16.509377,#8eb889,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,9
0.5904947543448564,0.4912099523261517,0.01043458319000115,0.3819088110247764,0.1627780792186652,0.14100141075975228,12,5.0,-7.996467599999999,-12.692254,#a9b070,2,0,0,0,2,6,6,8,12,5,7,7,16,5,5,12,0,10
0.6176257597234294,0.481550859971037,0.018518518518518517,0.05013927576601671,0.4432989690721649,0.005194658002606775,20,0.0,18.941465,-41.03007,#5ad99f,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,11
0.6175088429947309,0.4805297933736448,0.030622125393367224,0.2732384194779738,0.0979381443298969,0.11268210162220248,20,-1.0,-7.088686,-25.251486,#9cc669,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,12
0.6149610048206,0.4812329809116669,0.047406065409802016,0.26398320647933904,0.4952323308494487,0.25273290643901425,20,-2.0,6.652195,39.60562,#80289a,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,13
0.61147614961933,0.4818506014568911,0.036414565826330535,0.3358535614803025,0.41482572410407453,0.06829513573124144,20,-3.0,6.2582097,-25.328979999999998,#79c68f,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,14
0.6092676171575846,0.4849051901459731,0.013071895424836605,0.4016713091922005,0.4948453608247423,0.13118872664765108,20,-4.0,2.823655,-6.75473,#91a492,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,15
0.6066500742607381,0.4874664974399962,0.014161220043572988,0.3426183844011142,0.4845360824742268,0.046751922023460964,20,-5.0,1.5038278,-6.3139005,#94a38f,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,16
0.6192031831172233,0.4842806542120854,0.013024533484891543,0.16125711517500305,0.32160466158673245,0.14481392447583233,20,1.0,13.734713000000001,-32.934963,#60d09b,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,17
0.6199837361548592,0.4864109223996351,0.008628142615070718,0.7497015519299641,0.29225985927016856,0.08905128004468754,20,2.0,-28.849695,15.257023,#db6435,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,18
0.6206467832714608,0.4886496796929976,0.007516339869281047,0.09136490250696376,0.2845360824742268,0.01643400895370143,20,3.0,10.353495,-44.89778,#68dc83,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,19
0.6209919840404226,0.4905439650485803,0.01818334171275348,0.11720591386329547,0.2632831086439333,0.029533265427407737,20,4.0,9.279475999999999,-44.530605,#6adc81,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,20
0.6213300535670889,0.4925742996616975,0.04330065359477125,0.9331476323119776,0.2422680412371134,0.034237518653544644,20,5.0,-40.63922,19.618769,#eb5818,4,0,0,6,6,7,7,7,7,6,6,7,7,6,6,10,35,21
0.6461851256413684,0.5477810294235539,0.08061002178649239,0.033426183844011144,0.4845360824742268,0.19550803755265492,62,0.0,-14.812835999999999,42.978947,#b5235d,2,0,0,0,8,9,6,6,6,1,1,6,6,1,1,2,38,22
