TIME,Pass_ID,Time since ball possession change,Time to next ball possession change,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,left-right,back-front,change,team,tsne_x,tsne_y,color_tsne,ae4_x,ae4_y,color_ae4,ae3_x,ae3_y,color_ae3,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,tsne_y_5000,tsne_x_5000,color_tsne_5000,order,id,Y
49:42.4,46,0.010943912,0.48614372899999997,0.169748719,0.25445308,0.0,0.24120828800000002,0.964224548,0.524036822,0.281010123,0,1,80.60427,14.677447,#2562e7,3.1587572,4.3810644,#7618a1,-2.5407707999999998,0.67978233,#b61358,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.202034,3.7085407,#335ce1,0,13,13
49:42.4,46,0.011855905,0.485204321,0.178433764,0.244083054,0.0,0.240075645,0.962987631,0.523695875,0.282345088,0,1,80.67251,14.777531,#2562e7,3.1486087000000005,4.373703,#7618a1,-2.5386088,0.67545927,#b61358,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.164503,3.6752172,#345ce1,0,14,14
49:42.5,46,0.012767898,0.48426491299999996,0.182141986,0.235701933,0.0,0.239191085,0.9624167459999999,0.520797818,0.283012571,0,1,80.75908000000001,14.849567,#2562e7,3.1372294,4.3664265,#7718a0,-2.5322645,0.6719148,#b51358,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.126186,3.6609488,#345ce0,0,15,15
49:42.6,46,0.013679891000000001,0.483325505,0.179702366,0.228234265,0.0,0.238857596,0.962511893,0.5156835999999999,0.282901324,0,1,80.778305,14.925260999999999,#2562e7,3.123304,4.3590302,#77189f,-2.520854,0.66943014,#b51359,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.089186,3.6552737,#345ce0,0,16,16
49:42.7,46,0.014591883,0.482386097,0.178482557,0.22233000600000002,0.0,0.23931309399999998,0.9622264509999999,0.512785544,0.283123818,0,1,80.79862,14.986628,#2562e7,3.113629,4.3537083,#78189e,-2.5139267000000003,0.6672236,#b41359,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.062855,3.6480162,#345ce0,0,17,17
49:42.8,46,0.015503876000000002,0.481446689,0.18038546,0.215705525,0.0,0.239945503,0.9611798290000001,0.510910331,0.284347536,0,1,80.82388,15.048101,#2562e7,3.1051645,4.3483220000000005,#78189e,-2.5101988,0.6640739,#b4145a,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.037354,3.6348252,#345ce0,0,18,18
49:42.8,46,0.016415869,0.48050728,0.18604537699999998,0.20870239,0.0,0.24035016399999998,0.959372027,0.513296966,0.28634998300000003,0,1,80.89768000000001,15.115967999999999,#2562e7,3.1012053,4.3444543,#78189e,-2.5128582,0.66069376,#b51459,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.021887,3.612128,#345ce0,0,19,19
49:42.9,46,0.017327861,0.479567872,0.17331056399999997,0.202005692,0.0,0.241029343,0.959657469,0.51738834,0.285904995,0,1,80.835205,15.151912,#2562e7,3.094145,4.342818,#78189d,-2.5058289,0.6622058000000001,#b4145a,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.007511,3.6098459,#345ce0,0,20,20
49:43.0,46,0.018239854,0.478628464,0.15613564300000002,0.19478004899999998,0.0,0.24226976,0.9607992390000001,0.518411183,0.284347536,0,1,80.714874,15.215822,#2562e7,3.0821955,4.340017,#79189d,-2.4924626,0.66452354,#b3135b,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.982275,3.6127079,#345ce0,0,21,21
49:43.1,46,0.019151847,0.477689056,0.143303245,0.186717076,0.0,0.244311365,0.9614652709999999,0.5153426529999999,0.28345755899999997,0,1,80.668175,15.289032999999998,#2662e7,3.0668022999999995,4.3348923,#7a189c,-2.4776048999999998,0.66524535,#b2135c,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.9443,3.612688,#345ce0,0,22,22
